Keyword Stats 2026-02-14 at 16_56_16
"January 1, 2025 - December 31, 2025"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025
ai based software testing	EUR	500	0%	0%	Low	32	0.49	13.04					Y												
ai ml testing tools	EUR	50	0%	0%	Medium	37	0.27	5.88					Y												
no code machine learning tools	EUR	50	0%	0%	Medium	40	0.47	3.82					Y												
building ai applications	EUR	500	0%	0%	Medium	54	0.98	7.92					Y												
artificial intelligence in software testing	EUR	5000	0%	0%	Medium	48	0.43	8.10					Y												
building an app with chat gpt	EUR	50	0%	0%	High	86	1.71	6.32					Y												
test automation using ai	EUR	50	0%	-90%	High	67	0.26	6.83					Y												
ai powered test automation	EUR	500	0%	900%	Low	24	0.68	12.64					Y												
free ai test automation tools	EUR	50	0%	0%	Medium	54	0.69	4.33					Y												
ai based ui testing	EUR	50	0%	0%	High	71	0.86	5.25					Y												
intelligent test automation	EUR	500	-90%	0%	Low	11	0.37	4.02					Y												
ai programming assistant	EUR	500	0%	-90%	Medium	45	0.48	7.08					Y												
low code ai tools	EUR	500	-90%	0%	Medium	39	0.58	8.19					Y												
knowledge based agent	EUR	500	0%	0%	Low	4	1.93	14.69					Y												
code helper ai	EUR	5000	-90%	-90%	Medium	45	0.45	5.64					Y												
ai based software testing tools	EUR	50	0%	0%	Medium	46	0.25	4.94					Y												
ai and software testing	EUR	5000	0%	0%	Medium	48	0.43	8.10					Y												
chatgpt test automation	EUR	50	-100%	-100%	Unknown								Y												
best ai code assistant	EUR	5000	0%	0%	Medium	56	0.82	8.50					Y												
no code ai solutions	EUR	50	0%	0%	Medium	35	0.51	9.14					Y												
create ar app without coding	EUR	50	0%	0%	Low	17							Y												
open source ai automation tools	EUR	50	0%	0%	Medium	63	0.46	4.92					Y												
ai and ml testing tools	EUR	50	0%	0%	Low	8							Y												
chat gpt test automation	EUR	50	0%	0%	Unknown								Y												
ai test case generation	EUR	500	-90%	0%	Medium	48	0.82	8.97					Y												
software testing using ai	EUR	500	0%	-90%	Medium	65	0.35	6.13					Y												
building apps with ai	EUR	500	0%	900%	High	79	0.76	9.74					Y												
no code nlp	EUR	50	0%	0%	Low	9							Y												
code assistant ai	EUR	5000	0%	-90%	Medium	65	0.41	4.37					Y												
ai based automation tools	EUR	50	0%	0%	High	67	0.51	9.91					Y												
open source ai testing tools	EUR	500	0%	0%	Low	26	0.84	7.57					Y												
ai based test case generation	EUR	50	0%	0%	Medium	38	0.58	7.12					Y												
applitools visual ai	EUR	50	0%	0%	Medium	59	1.61	11.75					Y												
ai no code tools	EUR	50	0%	0%	Medium	57	0.28	5.13					Y												
applitools testing	EUR	50	0%	0%	Medium	43	2.22	11.12					Y												
knowledge based agent in artificial intelligence	EUR	500	0%	0%	Low	2	0.32	2.86					Y												
ai based testing framework	EUR	50	0%	0%	Medium	40	0.19	2.98					Y												
ai programming helper	EUR	50	0%	0%	High	81	0.80	7.89					Y												
chat gpt for test automation	EUR	50	0%	-100%	Unknown								Y												
ai automate	EUR	500	0%	0%	Medium	48	0.55	8.68					Y												
ai tools for automation	EUR	500	0%	0%	Low	20	0.33	9.52					Y												
artificial intelligence foundations of computational agents	EUR	500	0%	0%	Medium	35	0.86	6.32					Y												
katalon ai	EUR	500	0%	0%	Medium	47	0.74	8.18					Y												
ai creating apps	EUR	500	-90%	0%	High	77	0.44	6.87					Y												
no code ai software	EUR	50	0%	0%	Low	32	2.49	11.80					Y												
rational agent in ai	EUR	500	0%	-90%	Low	1	0.21	1.07					Y												
open source ai test automation tools	EUR	50	0%	0%	Low	26	0.80	4.66					Y												
machine learning automation testing	EUR	500	0%	-90%	Low	7	0.19	3.73					Y												
automated testing tools ai	EUR	50	0%	0%	Medium	52	0.83	2.67					Y												
ai ml in software testing	EUR	50	0%	0%	Medium	37	0.40	4.06					Y												
automate api testing with artificial intelligence	EUR	50	0%	0%	Low	0							Y												
develop ai app	EUR	50	0%	0%	Medium	51	0.81	6.81					Y												
free no code ai tools	EUR	50	0%	0%	High	89	0.27	2.33					Y												
machine learning in test automation	EUR	500	0%	-90%	Low	7	0.19	3.73					Y												
coding assistant ai	EUR	5000	0%	-90%	Medium	65	0.41	4.37					Y												
machine learning test automation	EUR	500	0%	-90%	Low	7	0.19	3.73					Y												
chat gpt for automation testing	EUR	50	0%	-100%	Unknown								Y												
open source ai tools for testing	EUR	50	0%	0%	Medium	57	0.30	0.88					Y												
ai in testing tools	EUR	50	0%	0%	Medium	53	0.18	3.09					Y												
rational ai	EUR	500	0%	0%	Low	11	2.64	10.56					Y												
tabnine ai assistant	EUR	50	0%	0%	Low	33	0.30	2.71					Y												
visual testing applitools	EUR	50	0%	0%	Medium	40	1.43	8.43					Y												
intelligent agent in ai	EUR	500000	0%	0%	Medium	49	0.55	9.01					Y												
chat gpt build app	EUR	50	0%	0%	Medium	60	0.80	6.85					Y												
code assist ai	EUR	500	0%	0%	Medium	53	0.94	7.35					Y												
no code ai open source	EUR	50	0%	0%	Medium	46							Y												
build an app with chatgpt	EUR	50	0%	0%	High	83	2.31	9.37					Y												
jarvis ai assistant python code	EUR	500	-90%	0%	Low	10	1.01	4.53					Y												
knowledge based agents in ai	EUR	500	0%	0%	Low	4	0.26	4.22					Y												
no code ml tools	EUR	50	0%	0%	Medium	49	0.47	4.35					Y												
ai and ml in software testing	EUR	50	0%	0%	Low	16	0.63	3.94					Y												
ai test automation github	EUR	50	0%	0%	Low	28	0.43	3.07					Y												
appvance testing tool	EUR	50	0%	0%	Medium	33							Y												
ai agents examples	EUR	5000	0%	0%	Medium	39	0.59	5.33					Y												
types of agent in ai	EUR	5000	0%	0%	Low	3	0.18	4.77					Y												
ai in software test automation	EUR	50	0%	0%	High	67							Y												
machine learning test automation tools	EUR	50	0%	0%	Low	0							Y												
alibaba cloud ai coding assistant	EUR	50	0%	0%	Medium	56	0.55	4.69					Y												
low code no code machine learning	EUR	50	0%	0%	Low	0							Y												
artificial intelligence in automation testing	EUR	5000	-90%	-90%	Medium	60	0.35	7.59					Y												
ai powered coding assistant	EUR	50000	0%	9900%	Low	0	0.29	5.83					Y												
machine learning for automation testing	EUR	500	0%	-90%	Low	7	0.19	3.73					Y												
python code for ai assistant	EUR	50	0%	0%	Low	21	0.19	2.32					Y												
codeless machine learning	EUR	50	0%	0%	Medium	64	0.42	2.57					Y												
ai copilot coding	EUR	50	0%	0%	Medium	55	0.54	3.62					Y												
ml in test automation	EUR	50	0%	-100%	Unknown								Y												
supermicro drive tray	EUR	50	0%	0%	High	100	0.52	7.10					Y												
kite ai coding assistant	EUR	50	0%	0%	Low	13							Y												
ai assistant code	EUR	500	0%	0%	Medium	57	0.42	5.52					Y												
agent and its types in ai	EUR	50	0%	-90%	Low	1							Y												
agent and types of agent in ai	EUR	50	0%	0%	Low	6	0.01	4.41					Y												
agent based ai	EUR	500	0%	0%	Medium	45	1.14	12.49					Y												
agent based modeling artificial intelligence	EUR	50	0%	0%	Medium	44	2.44	6.74					Y												
agent example in ai	EUR	50	0%	0%	Medium	34	0.42	1.22					Y												
agent of ai	EUR	500	0%	0%	Low	30	0.84	8.43					Y												
agent programs in ai	EUR	500	0%	-90%	Low	16	0.33	1.63					Y												
agent types ai	EUR	50	0%	0%	Low	11							Y												
agents and its types in ai	EUR	50	0%	-90%	Low	1							Y												
agents and types of agents in ai	EUR	50	0%	0%	Low	4							Y												
agents in artificial intelligence ppt	EUR	50	0%	0%	Low	29							Y												
agents types in artificial intelligence	EUR	5000	0%	0%	Low	3	0.18	4.77					Y												
ai & ml in test automation	EUR	50	0%	0%	Unknown								Y												
ai agent types	EUR	500	0%	0%	Low	17	0.48	5.70					Y												
ai agents and its types	EUR	50	0%	0%	Low	4							Y												
ai agents are composed of	EUR	50	0%	0%	Low	0							Y												
ai and ml in test automation	EUR	50	0%	0%	Low	5							Y												
ai assistant github	EUR	500	0%	0%	Low	7	0.96	5.72					Y												
ai assistant in python code	EUR	50	0%	-100%	Unknown								Y												
ai assistant python code	EUR	50	0%	0%	Low	21	0.21	3.42					Y												
ai assistant source code	EUR	50	0%	0%	Low	22	0.14	1.84					Y												
ai intelligent agent	EUR	500000	0%	0%	Medium	49	0.55	9.01					Y												
ai rational agent	EUR	50	0%	0%	Low	20							Y												
ai software testing automation	EUR	50	0%	0%	Medium	43	5.07	18.49					Y												
ai types of agents	EUR	5000	0%	0%	Low	3	0.18	4.77					Y												
an agent in artificial intelligence	EUR	50	0%	0%	Low	23							Y												
an agent is composed of in ai	EUR	50	0%	0%	Low	0							Y												
an ai agent	EUR	50	0%	0%	Low	22	1.35	13.10					Y												
appium ai	EUR	500	0%	900%	Medium	42	0.76	3.71					Y												
artificial agency	EUR	500	0%	0%	Low	17	0.72	4.46					Y												
artificial intelligence ai in software testing	EUR	50	0%	0%	High	71	0.37	5.15					Y												
artificial intelligence and intelligent agents	EUR	500000	0%	0%	Medium	49	0.55	9.01					Y												
automated testing tools unit api ai	EUR	50	0%	0%	Unknown								Y												
autonomous agent in ai	EUR	50	0%	0%	Low	21	0.19	0.63					Y												
autonomous agents in ai	EUR	500	900%	0%	Low	28	0.32	11.14					Y												
best ai agent is one which	EUR	50	∞	0%	Low	0							Y												
build jarvis using python	EUR	50	0%	0%	Low	29							Y												
building smarter apps using mobile artificial intelligence	EUR	50	0%	0%	Unknown								Y												
claudia ide	EUR	500	0%	0%	Low	0							Y												
codegeass	EUR	500000	0%	0%	Low	1	0.38	4.83					Y												
coding an ai assistant	EUR	50	0%	0%	High	74	0.81	4.12					Y												
computer agent in ai	EUR	50	∞	∞	Low	14							Y												
create jarvis using python	EUR	50	0%	0%	Low	14							Y												
create your own artificial intelligence app	EUR	50	0%	0%	High	93	0.97	6.22					Y												
creating jarvis in python	EUR	50	0%	0%	Low	0							Y												
deepmind generalist agent	EUR	50	0%	0%	Low	0							Y												
develop a simple ai app	EUR	50	0%	0%	Low	26	2.49	4.58					Y												
diffblue tool	EUR	50	0%	0%	Low	0							Y												
diffblue unit test	EUR	50	0%	0%	Medium	57							Y												
different types of agent in ai	EUR	50	0%	0%	Low	2							Y												
different types of agents in ai	EUR	500	0%	0%	Low	10	0.19	2.87					Y												
different types of ai agents	EUR	500	0%	0%	Medium	35	1.07	6.70					Y												
example of agent in ai	EUR	500	0%	0%	Low	8	1.41	7.06					Y												
example of goal based agent in artificial intelligence	EUR	50	0%	∞	Low	0							Y												
example of intelligent agent	EUR	500	0%	0%	Low	6	0.40	4.27					Y												
example of learning agent in ai	EUR	50	0%	0%	Low	11							Y												
examples of agents in ai	EUR	500	0%	0%	Low	8	1.41	7.06					Y												
examples of ai agents	EUR	5000	0%	900%	Medium	41	0.96	6.80					Y												
extraamas	EUR	50	0%	0%	Low	0							Y												
feedback based self learning in large scale conversational ai agents	EUR	50	0%	0%	Low	10							Y												
four types of agents in artificial intelligence	EUR	50	0%	0%	Low	14							Y												
github ai assistant	EUR	500	0%	0%	Low	31	0.89	5.62					Y												
github ai code assistant	EUR	50	0%	0%	Low	33	2.03	6.39					Y												
github assistant ai	EUR	50	0%	0%	Medium	33	0.60	2.55					Y												
github code assistant	EUR	500	-90%	-90%	Medium	39	2.05	9.44					Y												
goal based agent in ai	EUR	500	0%	0%	Low	1	0.20	0.33					Y												
goal based agent in ai example	EUR	50	0%	0%	Low	0							Y												
goal based agents in ai	EUR	50	900%	900%	Low	3							Y												
human agent in ai	EUR	50	0%	0%	Low	8	0.22	2.10					Y												
in ai an intelligent agent is	EUR	50	0%	0%	Unknown								Y												
in artificial intelligence an agent is composed of	EUR	50	0%	0%	Low	0							Y												
intelligent agent and its types	EUR	50	0%	-90%	Low	0							Y												
intelligent agent bot	EUR	50	0%	0%	Low	0							Y												
intelligent agent in artificial intelligence examples	EUR	500000	0%	0%	Medium	49	0.55	9.01					Y												
intelligent agent types	EUR	500	0%	0%	Low	1	0.77	6.41					Y												
intelligent agent types in ai	EUR	50	0%	0%	Low	0							Y												
intelligent agents in ai ppt	EUR	50	0%	0%	Low	2							Y												
intelligent agents in artificial intelligence ppt	EUR	50	0%	0%	Low	0							Y												
intelligent test automation and analytics	EUR	50	0%	0%	Low	14							Y												
internet shopping agent in ai	EUR	50	∞	0%	Low	0							Y												
iron man jarvis python code	EUR	50	0%	0%	Low	0							Y												
jarvis ai python code	EUR	50	0%	0%	Low	16	0.50	3.34					Y												
jarvis ai python code download	EUR	50	0%	0%	Low	2							Y												
jarvis ai source code python	EUR	50	0%	0%	Low	3							Y												
jarvis ai using python	EUR	50	0%	0%	Low	0							Y												
jarvis assistant python code	EUR	50	0%	0%	Low	10							Y												
jarvis code download python	EUR	50	0%	0%	Unknown								Y												
jarvis code for python	EUR	50	0%	0%	Low	0							Y												
jarvis code in python	EUR	500	0%	0%	Low	4	0.14	0.90					Y												
jarvis code python	EUR	50	0%	0%	Low	0							Y												
jarvis using python	EUR	50	0%	0%	Low	3							Y												
knowledge based agent in ai example	EUR	50	0%	0%	Low	1							Y												
knowledge based agents artificial intelligence	EUR	50	0%	0%	Low	10							Y												
knowledge based agents artificial intelligence ppt	EUR	50	0%	∞	Low	0							Y												
learn to build ai assistant like jarvis using python	EUR	50	0%	-100%	Unknown								Y												
learning agent ai	EUR	50	0%	0%	Medium	45	0.84	10.54					Y												
learning agent example in ai	EUR	50	0%	0%	Low	10							Y												
learning agent in ai	EUR	500	900%	0%	Low	14	2.45	9.46					Y												
learning agent in ai example	EUR	50	0%	0%	Low	0							Y												
learning agent in artificial intelligence	EUR	500	900%	0%	Low	14	2.45	9.46					Y												
learning agents in artificial intelligence ppt	EUR	50	∞	0%	Low	0							Y												
learning based agent in ai	EUR	50	0%	0%	Low	3							Y												
lelouch movie	EUR	5000	0%	0%	Low	0							Y												
logic agents in ai	EUR	500	0%	900%	Low	3	0.26	1.97					Y												
logical agent in artificial intelligence	EUR	500	0%	-90%	Low	0							Y												
logical agents in artificial intelligence ppt	EUR	50	0%	0%	Low	0							Y												
logical agents in artificial intelligence tutorialspoint	EUR	50	0%	-100%	Unknown								Y												
machine learning agent	EUR	500	0%	0%	Low	27	1.42	13.42					Y												
machine learning and test automation	EUR	500	0%	-90%	Low	7	0.19	3.73					Y												
machine learning in automation testing	EUR	500	0%	-90%	Low	7	0.19	3.73					Y												
machine learning in qa automation	EUR	50	0%	0%	Low	29							Y												
make jarvis using python	EUR	50	0%	0%	Low	11							Y												
making jarvis in python	EUR	50	0%	0%	Low	0							Y												
mcp 240 84602 0n	EUR	50	0%	0%	Low	11							Y												
mcp 260 00024 0n	EUR	50	0%	0%	Medium	50							Y												
mcp 260 00078 0n	EUR	50	0%	0%	Low	15							Y												
mcp 70 290	EUR	50	0%	0%	Low	0							Y												
mcp active directory	EUR	50	-90%	0%	Low	7	0.57	7.71					Y												
mcp sql	EUR	500	0%	900%	Low	3	0.65	3.20					Y												
mcp sqlserver	EUR	500	0%	900%	Low	6	0.53	5.72					Y												
ml based test automation	EUR	50	-100%	-100%	Unknown								Y												
model based agent in ai	EUR	500	0%	0%	Low	9	0.31	4.17					Y												
model based agent in ai example	EUR	50	0%	0%	Low	7							Y												
model based reflex agent in ai	EUR	50	0%	0%	Low	1							Y												
multi agent ai	EUR	5000	0%	0%	Medium	42	0.88	9.06					Y												
multi agent artificial intelligence ucl	EUR	50	0%	0%	Low	0							Y												
multi agent planning in ai	EUR	500	900%	0%	Low	3	0.30	2.41					Y												
multi agent planning in artificial intelligence geeksforgeeks	EUR	50	∞	0%	Low	0							Y												
multi agent planning in artificial intelligence javatpoint	EUR	50	0%	-100%	Unknown								Y												
online search agent in ai	EUR	50	0%	-90%	Low	1							Y												
open ai multi agent	EUR	50	0%	0%	Low	12							Y												
openai code assistant	EUR	50	0%	0%	Low	31	1.50	8.36					Y												
openai hide and seek	EUR	500	0%	0%	Low	3	0.49	4.37					Y												
planning agent in ai	EUR	50	0%	-90%	Low	6	0.56	4.22					Y												
planning agents in ai	EUR	50	0%	-90%	Low	6	0.56	4.22					Y												
practical reinforcement learning using python 8 ai agents	EUR	50	∞	0%	Medium	54							Y												
python ai assistant code	EUR	50	0%	0%	Low	32	0.18	3.57					Y												
python code for artificial intelligence foundations of computational agents	EUR	50	0%	0%	Low	8							Y												
python code for jarvis ai	EUR	50	0%	0%	Low	2							Y												
python jarvis ai code	EUR	50	∞	0%	Low	29							Y												
q learning flappy bird	EUR	50	0%	0%	Low	2							Y												
rational agent ai	EUR	50	0%	0%	Low	0							Y												
rational agent in ai example	EUR	50	0%	0%	Low	0							Y												
rational agents in ai	EUR	50	0%	-90%	Low	2							Y												
reflex agent in ai	EUR	500	0%	-90%	Low	3							Y												
reflex agents in ai	EUR	500	0%	-90%	Low	3							Y												
reinforcement learning ai flight with unity ml agents	EUR	50	0%	0%	Low	7							Y												
relational agent in ai	EUR	50	0%	0%	Low	0							Y												
robotic agent in artificial intelligence	EUR	50	0%	0%	Low	8							Y												
simple agent in ai	EUR	50	0%	0%	Low	6							Y												
simple planning agent in ai	EUR	50	0%	0%	Low	2							Y												
simple reflex agent in ai	EUR	500	0%	0%	Low	0							Y												
simple reflex agent in artificial intelligence example	EUR	50	0%	0%	Low	0							Y												
single agent search and two agent search in artificial intelligence	EUR	50	∞	0%	Low	0							Y												
software agent in ai	EUR	500	900%	0%	Low	21	0.99	4.53					Y												
swarm agents in ai	EUR	50	0%	0%	Low	0							Y												
test automation machine learning	EUR	500	0%	-90%	Low	7	0.19	3.73					Y												
the best ai agent is one which	EUR	50	0%	0%	Low	4							Y												
the wumpus world in artificial intelligence	EUR	50	0%	0%	Low	0							Y												
type of ai agent	EUR	5000	0%	0%	Low	16	0.63	6.96					Y												
types of agent ai	EUR	50	0%	0%	Low	7	0.36	3.84					Y												
types of agent in artificial intelligence with example	EUR	50	0%	0%	Low	0							Y												
types of agent programs in ai	EUR	50	0%	0%	Low	1							Y												
types of agent programs in artificial intelligence	EUR	50	0%	0%	Low	1							Y												
types of agents in ai with examples	EUR	50	0%	0%	Low	5	0.89	5.44					Y												
types of agents in artificial intelligence ppt	EUR	500	0%	-90%	Low	0							Y												
types of agents with examples in artificial intelligence	EUR	50	∞	∞	Low	0							Y												
types of ai agents with examples	EUR	500	0%	900%	Low	24	0.57	6.14					Y												
types of artificial intelligence agent	EUR	50	0%	0%	Low	16	1.64	20.34					Y												
types of artificial intelligence agents	EUR	50	0%	0%	Low	16	1.64	20.34					Y												
types of intelligent agent in ai	EUR	500	0%	0%	Low	2	0.26	4.91					Y												
types of intelligent agent in artificial intelligence	EUR	5000	0%	0%	Low	3	0.18	4.77					Y												
types of intelligent agents in artificial intelligence	EUR	5000	0%	0%	Low	3	0.18	4.77					Y												
typical intelligent agents in ai	EUR	50	0%	0%	Low	18	1.69	4.53					Y												
unity ai agents	EUR	500	0%	0%	Low	21	0.61	4.74					Y												
unity based ai agent	EUR	50	0%	0%	Low	22	0.51	7.27					Y												
unity machine learning agent	EUR	50	0%	0%	Low	10	0.50	3.08					Y												
utility agents in ai	EUR	50	0%	0%	Low	5	0.26	1.77					Y												
utility based agent in ai	EUR	500	0%	0%	Low	1	0.26	7.52					Y												
utility based agent in ai example	EUR	50	0%	0%	Low	2							Y												
utility based agents in ai	EUR	50	0%	0%	Low	1							Y												
various types of agents in artificial intelligence	EUR	50	∞	0%	Low	0							Y												
vibesup coupon	EUR	50	0%	0%	Low	0							Y												
visual studio code ai assistant	EUR	500	0%	0%	Medium	36	0.90	4.70					Y												
wumpus world ai	EUR	500	0%	0%	Low	0							Y												
wumpus world ai python code	EUR	50	-100%	-100%	Unknown								Y												
wumpus world in ai	EUR	500	0%	0%	Low	0							Y												
vibe coding	EUR	500000	0%	999900%	Medium	37	0.30	4.52					Y												
claude api tutorial	EUR	50	0%	0%	Low	6							Y												
